ISO3,Country,Region,Income Group,Population2000,Population2010,Population2020,Area,GDP2000,GDP2010,GDP2020,Expectancy2000,Expectancy2010,Expectancy2020,Fertility2000,Fertility2010,Fertility2020
BEL,Belgium,Europe & Central Asia,High income,10251249.0,10895585.0,11538604.0,30530.0,23098.8865077401,44184.946353964,45609.0034936111,77.7219512195122,80.1829268292683,80.6951219512195,1.67,1.86,1.55
BLZ,Belize,Latin America & Caribbean,Upper middle income,240406.0,322106.0,394921.0,22970.0,4720.16821801746,5399.06209583265,5185.1580697602,68.564,72.272,72.854,3.634,2.606,1.999
BEN,Benin,Sub-Saharan Africa,Lower middle income,6998023.0,9445709.0,12643123.0,114760.0,502.997981069672,1009.48949478478,1240.73315536982,56.578,58.363,60.088,5.89,5.39,5.048
BMU,Bermuda,North America,High income,61833.0,65124.0,63893.0,4290.0,56284.1686478094,101875.28407346,107791.886435134,78.858,80.499,81.136,1.74,1.7,1.4
BTN,Bhutan,South Asia,Lower middle income,587207.0,705517.0,772507.0,38390.0,722.826756164774,2194.12587604893,3181.33974721703,62.01,68.43,71.609,3.414,2.296,1.433
BOL,Bolivia,Latin America & Caribbean,Lower middle income,8592656.0,10223270.0,11936161.0,1098580.0,977.329417675872,1922.05857050664,3068.81255516456,62.346,66.162,64.467,3.991,3.213,2.651
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,4179350.0,3811088.0,3318407.0,51210.0,1332.21021661547,4506.93235205533,6095.10423658487,74.496,77.073,76.225,1.283,1.276,1.359
BWA,Botswana,Sub-Saharan Africa,Upper middle income,1726985.0,2091665.0,2546402.0,581730.0,3351.6965168531,6041.73205119653,5875.07060596716,51.011,60.013,65.647,3.312,3.023,2.836
BRA,Brazil,Latin America & Caribbean,Upper middle income,175873720.0,196353492.0,213196303.0,8515770.0,3726.81166909716,11249.2918904352,6923.6999117682,69.737,73.182,74.009,2.255,1.81,1.649
VGB,British Virgin Islands,Latin America & Caribbean,High income,20104.0,27557.0,30910.0,150.0,,,,73.966,75.428,75.849,1.866,1.183,0.976
BRN,Brunei,East Asia & Pacific,High income,333927.0,396053.0,441725.0,5770.0,17971.8922877592,34609.7119829323,27179.3528869398,74.08,74.849,74.795,2.346,1.937,1.796
BGR,Bulgaria,Europe & Central Asia,Upper middle income,8170173.0,7395599.0,6934014.0,111000.0,1621.26210738992,6863.66706774052,10148.3423954435,71.6634146341463,73.5121951219512,73.6585365853659,1.26,1.57,1.56
BFA,Burkina Faso,Sub-Saharan Africa,Low income,11882888.0,16116844.0,21522626.0,274220.0,249.802075690488,627.270395707064,823.552410880968,50.847,56.477,59.731,6.519,5.936,4.869
BDI,Burundi,Sub-Saharan Africa,Low income,6307659.0,9126606.0,12220226.0,27830.0,138.004617225366,222.660583208376,216.827417480868,47.514,57.081,61.566,6.872,6.26,5.177
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,458250.0,521212.0,582640.0,4030.0,1176.70725787049,3500.97746776661,3126.39985872259,68.618,73.499,74.808,3.539,2.474,1.908
KHM,Cambodia,East Asia & Pacific,Lower middle income,12118841.0,14363532.0,16396861.0,181040.0,301.516598526092,782.695738595564,1577.91173991645,58.625,67.712,70.416,3.772,2.774,2.381
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,15091595.0,19878036.0,26491086.0,475440.0,700.16323623489,1383.81386476157,1539.13054519245,52.932,56.582,60.833,5.53,5.16,4.543
CAN,Canada,North America,High income,30685730.0,34004889.0,38007166.0,9879750.0,24271.0020563821,47562.0834253057,43562.4358311849,79.1668292682927,81.3221951219512,81.6704878048781,1.51,1.65,1.41
CYM,Cayman Islands,Latin America & Caribbean,High income,39659.0,54074.0,67311.0,264.0,,76873.1942775535,83897.505443389,,82.190243902439,,,,
CAF,Central African Republic,Sub-Saharan Africa,Low income,3759170.0,4660067.0,5343020.0,622980.0,243.877580075298,459.776981833241,435.469247800022,45.406,49.255,54.604,5.915,5.937,5.985
TCD,Chad,Sub-Saharan Africa,Low income,8259138.0,11894727.0,16644701.0,1284000.0,168.117658247775,896.876704620394,643.772215694009,47.443,49.584,52.777,7.249,6.99,6.346
CHI,Channel Islands,Europe & Central Asia,High income,145306.0,156933.0,171113.0,198.0,44318.2210969282,,57339.5268713567,79.155,81.12,81.264,1.487,1.633,1.447
CHL,Chile,Latin America & Caribbean,High income,15351798.0,17004163.0,19300315.0,756700.0,5102.96876066704,12764.5931178671,13173.7847941723,76.87,78.501,79.377,1.987,1.844,1.537
CHN,China,East Asia & Pacific,Upper middle income,1262645000.0,1337705001.0,1411100001.0,9562910.0,959.360431340438,4550.47394361131,10408.7195541075,71.881,75.599,78.077,1.628,1.687,1.281
COL,Colombia,Latin America & Caribbean,Upper middle income,39215136.0,44816108.0,50930663.0,1140619.05,2546.85021359809,6392.75802564032,5304.28912886641,71.32,75.033,74.769,2.572,1.992,1.737
COM,Comoros,Sub-Saharan Africa,Lower middle income,536757.0,656024.0,806166.0,1861.0,654.18043075023,1384.06328381602,1519.58677981634,58.757,61.123,64.166,5.297,4.759,4.052
COD,Dem. Rep. Congo,Sub-Saharan Africa,Low income,48616317.0,66391257.0,92853165.0,2344860.0,392.626333784131,324.827726109271,524.666686211495,51.781,56.417,59.739,6.718,6.587,6.206
COG,Congo,Sub-Saharan Africa,Lower middle income,3134030.0,4437884.0,5702174.0,342000.0,1029.96068881894,2962.76248130765,2011.2694790099,53.682,61.683,63.785,4.764,4.822,4.234
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,3979192.0,4622252.0,5123105.0,51100.0,3773.03379319679,8147.24398493375,12179.2566735195,77.586,78.67,79.277,2.412,1.928,1.555
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,16799670.0,21120042.0,26811790.0,322460.0,986.777352839567,1654.17795876208,2349.06988200418,50.842,55.023,59.032,5.814,5.088,4.472
HRV,Croatia,Europe & Central Asia,High income,4468302.0,4295427.0,4047681.0,88070.0,4952.37775298931,13693.5000292691,14269.9088549332,72.8078048780488,76.4756097560976,77.7243902439024,1.39,1.46,1.48
CUB,Cuba,Latin America & Caribbean,Upper middle income,11105791.0,11290418.0,11300698.0,109880.0,2752.20378269319,5275.53260105122,9499.57250428248,76.183,77.661,77.567,1.581,1.693,1.5
CUW,Curaçao,Latin America & Caribbean,High income,133859.0,148703.0,154947.0,444.0,,,16356.0933254541,73.0339512195122,,,2.19,2.2,1.4
CYP,Cyprus,Europe & Central Asia,High income,948237.0,1129685.0,1237537.0,9250.0,14388.34765625,31023.267578125,28281.42578125,76.568,79.665,81.391,1.637,1.438,1.328
CZE,Czechia,Europe & Central Asia,High income,10255063.0,10474410.0,10697858.0,78871.01,6029.03819275358,19960.0684872157,22992.8793833348,74.9682926829268,77.4243902439025,78.2268292682927,1.15,1.51,1.71
DNK,Denmark,Europe & Central Asia,High income,5339616.0,5547682.0,5831405.0,42920.0,30743.5476816354,58041.3984363385,60836.5924121638,76.5926829268293,79.1,81.6024390243903,1.77,1.87,1.68
DJI,Djibouti,Middle East & North Africa,Lower middle income,742033.0,919199.0,1090157.0,23200.0,742.865697154312,1227.82085311429,2921.73870623293,56.573,60.259,62.694,4.578,3.39,2.848
DMA,Dominica,Latin America & Caribbean,Upper middle income,68346.0,68755.0,71995.0,750.0,4879.14977277925,7182.40020254419,7003.46989117043,72.693,71.55,73.649,2.351,1.915,1.597
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,8540791.0,9775755.0,10999663.0,146839.31,2845.84655316676,5509.56803417837,7167.91497432809,69.423,72.093,72.889,2.859,2.538,2.303
ECU,Ecuador,Latin America & Caribbean,Upper middle income,12626507.0,14989585.0,17588596.0,256370.0,1451.53088517998,4640.24634437845,5645.19928965332,72.839,75.43,72.153,3.102,2.615,2.051
EGY,Egypt,Middle East & North Africa,Lower middle income,71371371.0,87252414.0,107465133.0,1001450.0,1398.85983078672,2509.77203417522,3571.5569065135,68.007,69.664,70.99,3.442,3.213,2.96
SLV,El Salvador,Latin America & Caribbean,Upper middle income,5958482.0,6114034.0,6292730.0,21040.0,1977.84061443838,3017.3073947577,3961.72663347599,69.865,71.848,71.061,3.14,2.239,1.819
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,684977.0,1094525.0,1596049.0,28050.0,1527.05637771592,14905.5145764646,6198.94252378655,53.226,57.878,60.708,5.834,5.209,4.346
ERI,Eritrea,Sub-Saharan Africa,Low income,2392880.0,3147727.0,3555868.0,121630.327,295.19692403481,504.972460176652,,56.111,63.787,67.133,5.397,4.571,3.933
EST,Estonia,Europe & Central Asia,High income,1396985.0,1331475.0,1329523.0,45340.0,4070.60902410208,14663.0446126465,23595.2436836441,70.4170731707317,75.4292682926829,78.5951219512195,1.36,1.72,1.58
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,1030497.0,1099921.0,1180655.0,17360.0,1686.6575322622,4035.53448063299,3372.90461019719,47.256,46.619,59.692,3.996,3.356,2.89
ETH,Ethiopia,Sub-Saharan Africa,Low income,67031867.0,89237790.0,117190911.0,1136239.544,122.961659681414,335.438495270931,918.652594077418,50.538,59.73,65.371,6.56,5.217,4.243
FRO,Faroe Islands,Europe & Central Asia,High income,45660.0,48410.0,52415.0,12959.67,23370.7737767844,48167.6675141519,62234.9686802048,78.4365853658537,80.6365853658537,83.1975609756098,2.582,2.514,2.323
FJI,Fiji,East Asia & Pacific,Upper middle income,832508.0,905170.0,920421.0,18270.0,2015.85749571271,3469.14964254878,4815.6891481254,66.31,67.328,67.924,3.026,2.746,2.495
FIN,Finland,Europe & Central Asia,High income,5176209.0,5363353.0,5529542.0,338460.0,24345.9148217032,46505.3031791811,49169.7193388499,77.4658536585366,79.8707317073171,81.9317073170732,1.73,1.87,1.37
FRA,France,Europe & Central Asia,High income,60921384.0,65030575.0,67571107.0,549086.87,22416.425417915,40676.0647913181,39179.7442596057,79.0560975609756,81.6634146341463,82.1756097560976,1.89,2.03,1.83
PYF,French Polynesia,East Asia & Pacific,High income,250927.0,283788.0,301920.0,3471.0,14346.1862627122,21447.8582553167,19185.6977702906,79.536,81.039,82.217,2.596,2.162,1.705
GAB,Gabon,Sub-Saharan Africa,Upper middle income,1272934.0,1711105.0,2292573.0,267670.0,3991.15715141003,8399.59734808121,6680.08266467748,61.069,63.898,66.531,4.469,4.153,3.548
GMB,The Gambia,Sub-Saharan Africa,Low income,1437539.0,1937275.0,2573995.0,11300.0,544.620961107601,796.631829179134,704.030462837221,56.942,60.717,62.612,5.801,5.669,4.777
GEO,Georgia,Europe & Central Asia,Upper middle income,4077131.0,3786695.0,3722716.0,69700.0,749.908534993961,3233.21975246843,4255.74299321254,69.575,72.128,72.765,1.601,1.919,1.971
DEU,Germany,Europe & Central Asia,High income,82211508.0,81776930.0,83160871.0,357590.0,23694.7604830673,41572.4559481507,46749.4762280016,77.9268292682927,79.9878048780488,81.0414634146342,1.38,1.39,1.53
GHA,Ghana,Sub-Saharan Africa,Lower middle income,19665502.0,25574718.0,32180401.0,238530.0,253.380293175761,1258.96419689048,2176.57621804239,58.195,61.157,64.114,4.854,4.206,3.623
GIB,Gibraltar,Europe & Central Asia,High income,27742.0,31262.0,32709.0,10.0,,,,81.37,80.958,82.198,1.919,1.838,1.855
GRC,Greece,Europe & Central Asia,High income,10805807.0,11121341.0,10698599.0,131960.0,12072.9293569196,26716.6488260274,17617.2915057014,77.8878048780488,80.3878048780488,81.2878048780488,1.25,1.48,1.39
GRL,Greenland,Europe & Central Asia,High income,56199.0,56905.0,56368.0,410450.0,19004.0038435698,43988.5280290494,54693.0766804265,66.1007317073171,70.2919512195122,71.6368292682927,2.329,2.195,2.019
GRD,Grenada,Latin America & Caribbean,Upper middle income,107432.0,114039.0,123662.0,340.0,4840.68406406257,6760.97488416081,8437.5367823125,72.783,74.999,74.924,2.582,2.24,2.023
GUM,Guam,East Asia & Pacific,High income,160187.0,164905.0,169231.0,540.0,,30011.2185803948,34780.8616624614,74.417,76.879,76.612,3.007,2.973,2.593
GTM,Guatemala,Latin America & Caribbean,Upper middle income,11589761.0,14259688.0,16858334.0,108890.0,1664.30774802438,2852.55759284808,4609.89725752869,67.446,70.878,71.797,4.583,3.375,2.484
GIN,Guinea,Sub-Saharan Africa,Lower middle income,8336967.0,10270727.0,13205152.0,245860.0,359.286670018273,667.281601897555,1073.65933900139,52.479,56.72,59.327,5.936,5.397,4.489
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,1230849.0,1567221.0,2015828.0,36130.0,301.495570983905,542.284101222819,710.258132978222,50.121,56.23,59.999,5.72,5.061,4.094
GUY,Guyana,Latin America & Caribbean,High income,759052.0,747931.0,797202.0,214970.0,938.893297983287,4589.87249766592,6863.07434593017,64.483,66.743,68.486,3.017,2.655,2.418
HTI,Haiti,Latin America & Caribbean,Lower middle income,8360225.0,9842880.0,11306802.0,27750.0,814.997919701067,1204.86205533079,1283.14122785939,58.365,46.019,64.052,4.39,3.47,2.869
HND,Honduras,Latin America & Caribbean,Lower middle income,6656724.0,8450933.0,10121763.0,112490.0,1079.6056663087,1874.27170372599,2354.12143387307,68.662,71.088,71.462,4.237,2.957,2.394
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,6665001.0,7024199.0,7480999.0,1110.0,25756.7728723704,32550.136489179,46109.2299946609,80.8780487804878,82.9780487804878,85.4975609756098,1.032,1.127,0.883
HUN,Hungary,Europe & Central Asia,High income,10210971.0,10000022.0,9750148.0,93030.0,4624.28165670295,13217.5045951108,16125.6094085407,71.2463414634146,74.2073170731707,75.5682926829269,1.32,1.25,1.59
ISL,Iceland,Europe & Central Asia,High income,281205.0,318041.0,366464.0,103000.0,32096.3722613695,43237.0729488958,58848.41812446,79.6536585365854,81.8975609756097,83.0634146341463,2.08,2.2,1.72
IND,India,South Asia,Lower middle income,1059633676.0,1240613620.0,1396387127.0,3287260.0,442.034778911498,1350.63447029491,1913.21973278751,62.669,66.909,70.15,3.35,2.603,2.051
IDN,Indonesia,East Asia & Pacific,Upper middle income,214072422.0,244016173.0,271857971.0,1916906.77,770.865351580294,3094.44307866403,3895.61815200225,66.433,68.679,68.808,2.536,2.452,2.194
IRN,Iran,Middle East & North Africa,Lower middle income,65544382.0,75373855.0,87290192.0,1745150.0,1672.02287649013,6458.57395613765,2746.41948317956,69.691,73.069,74.832,2.016,1.768,1.708
IRQ,Iraq,Middle East & North Africa,Upper middle income,24628858.0,31264875.0,42556983.0,435052.0,1963.72283862715,4430.42624189518,4251.33725272808,66.817,67.062,69.123,4.948,4.429,3.551
IRL,Ireland,Europe & Central Asia,High income,3805174.0,4560155.0,4985381.0,70280.0,26334.5672050501,48663.6004439251,85973.0884875501,76.5365853658537,80.7439024390244,82.5560975609756,1.89,2.05,1.63
IMN,Isle of Man,Europe & Central Asia,High income,75562.0,83827.0,84045.0,570.0,20693.8381675417,70625.1685395487,79530.6054839665,74.725,78.983,80.588,1.694,2.17,1.569
ISR,Israel,Middle East & North Africa,High income,6289000.0,7623599.0,9215101.0,22070.0,21630.7476087887,31266.6053174383,44846.7915954816,78.9536585365854,81.6024390243903,82.6487804878049,2.95,3.03,2.9
ITA,Italy,Europe & Central Asia,High income,56942109.0,59277417.0,59438850.0,302068.0,20137.5912217673,36035.6449950691,31922.9191626183,79.7780487804878,82.0365853658537,82.1951219512195,1.26,1.46,1.24
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2612205.0,2733896.0,2820435.0,10990.0,3447.30389648976,4835.79108651148,4897.26475034653,70.944,72.622,71.869,2.21,1.742,1.358
JPN,Japan,East Asia & Pacific,High income,126843001.0,128070000.0,126260999.0,377974.0,39169.3595701504,44968.1562349739,40040.7655055923,81.0760975609756,82.8426829268293,84.56,1.36,1.39,1.33
JOR,Jordan,Middle East & North Africa,Lower middle income,5056174.0,6931258.0,10928722.0,89318.0,1673.35812510644,3914.70123105389,3998.67313829235,71.918,74.0,75.184,3.921,3.778,2.873
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,14883625.0,16321871.0,18755666.0,2724900.0,1229.00096132728,9070.48825285747,9121.63640904156,65.45,68.45,71.37,1.8,2.59,3.13
KEN,Kenya,Sub-Saharan Africa,Lower middle income,30851606.0,41517895.0,51985780.0,580370.0,411.821352113869,1093.63962367926,1936.25075454374,54.411,60.649,62.675,5.137,4.367,3.397
KIR,Kiribati,East Asia & Pacific,Lower middle income,88825.0,107996.0,126463.0,810.0,757.133289998586,1438.08141312394,1403.99385262696,64.409,65.016,67.266,4.065,3.876,3.333
PRK,Dem. People's Rep. Korea,East Asia & Pacific,Low income,23367060.0,24686436.0,25867467.0,120540.0,,,,60.763,70.419,73.274,1.969,1.809,1.818
KOR,Korea,East Asia & Pacific,High income,47008111.0,49554112.0,51836240.0,100410.0,12257.0206622345,23079.2601257735,31721.2989141857,75.909756097561,80.1170731707317,83.4268292682927,1.48,1.226,0.837
XKX,Kosovo,Europe & Central Asia,Upper middle income,1700000.0,1775680.0,1790133.0,,,3009.52342543243,4310.9340020057,74.072,77.63,76.567,2.66,2.426,1.529
KWT,Kuwait,Middle East & North Africa,High income,1934902.0,2943356.0,4360444.0,17820.0,19493.8880490915,39212.5794137711,24297.7108020951,76.722,77.982,76.92,2.737,2.257,2.14
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,4898399.0,5447901.0,6579900.0,199950.0,279.619569260939,880.038521818228,1256.92922601263,68.5585365853659,69.3,71.8,2.4,3.1,3.0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,5430853.0,6323418.0,7319399.0,236800.0,318.770922812242,1127.83523605263,2593.35509719847,58.378,63.973,68.497,4.4,3.145,2.541
LVA,Latvia,Europe & Central Asia,High income,2367549.0,2097556.0,1900449.0,64590.0,3361.64086880275,11420.9940032836,18096.2027073394,70.3146341463415,73.4829268292683,75.1853658536585,1.25,1.36,1.55
LBN,Lebanon,Middle East & North Africa,Lower middle income,4320643.0,4995800.0,5662924.0,10450.0,3994.86114388889,7695.24541457279,5599.95752260733,73.931,78.156,77.804,2.499,2.126,2.103
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,1998630.0,2022748.0,2254100.0,30360.0,443.949949675926,1104.8115468317,917.356381258442,48.427,45.596,54.693,3.658,3.249,3.049
LBR,Liberia,Sub-Saharan Africa,Low income,2895223.0,4019955.0,5087585.0,111370.0,301.87646966176,497.020365397034,597.529691893048,51.356,59.433,60.948,5.875,5.058,4.174
LBY,Libya,Middle East & North Africa,Upper middle income,5154790.0,6491987.0,6653942.0,1759540.0,7424.35347156722,11611.3585954261,7034.65836433258,70.68,72.374,72.472,2.851,2.603,2.507
LIE,Liechtenstein,Europe & Central Asia,High income,33026.0,35926.0,38757.0,160.0,75210.1331775911,141466.827324144,165287.186766512,76.8268292682927,81.8414634146342,81.6585365853659,1.57,1.4,1.46
LTU,Lithuania,Europe & Central Asia,High income,3499535.0,3097282.0,2794885.0,65290.0,3293.22997867086,11987.508411647,20381.8557827478,72.0195121951219,73.2682926829268,74.9780487804878,1.39,1.5,1.48
LUX,Luxembourg,Europe & Central Asia,High income,436300.0,506953.0,630419.0,2590.0,48659.5988753233,110885.991378721,116905.370396853,77.8731707317073,80.6317073170732,82.1439024390244,1.76,1.63,1.36
MAC,"Macao SAR, China",East Asia & Pacific,High income,431896.0,557296.0,676283.0,32.9,15684.7795496765,50676.3870819204,37474.7345945939,80.959,83.109,85.184,0.912,1.042,1.072
MDG,Madagascar,Sub-Saharan Africa,Low income,16216431.0,21731053.0,28225176.0,587295.0,285.466463233818,459.375407996579,462.404228818383,57.938,62.873,65.182,5.403,4.755,3.918
MWI,Malawi,Sub-Saharan Africa,Low income,11229387.0,14718422.0,19377061.0,118480.0,225.952456739454,688.139191185368,622.184591270706,44.518,56.381,63.717,6.036,5.274,3.995
MYS,Malaysia,East Asia & Pacific,Upper middle income,22945150.0,28717731.0,33199993.0,330241.0,4087.56259349384,8880.14580454109,10164.344431073,72.775,74.442,75.938,2.914,2.144,1.818
MDV,Maldives,South Asia,Upper middle income,282507.0,361574.0,514438.0,300.0,2209.98823138762,7158.06142131359,7216.81637110947,70.876,77.657,79.875,2.71,2.318,1.712
MLI,Mali,Sub-Saharan Africa,Low income,11239101.0,15529181.0,21224040.0,1240190.0,263.498384244829,688.327865858558,822.906136832132,50.539,56.382,58.633,6.874,6.579,6.035
MLT,Malta,Middle East & North Africa,High income,390087.0,414508.0,515332.0,320.0,10432.328062168,21798.9142935915,29597.6361628521,78.3487804878049,81.3975609756098,82.3487804878049,1.68,1.36,1.13
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,54224.0,53416.0,43414.0,180.0,2127.24070522278,3001.31982926464,5545.60026741253,63.275,63.226,64.977,4.592,3.632,2.777
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,2695004.0,3419461.0,4498604.0,1030700.0,660.303861060692,1646.13042756814,1836.29241098592,61.028,63.105,64.532,5.459,5.043,4.455
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,1186873.0,1250400.0,1266013.0,2007.0,3929.08178166029,8000.37643182154,9011.04288445023,71.6634146341463,72.9673170731707,74.1770731707317,1.99,1.57,1.44
MEX,Mexico,Latin America & Caribbean,Upper middle income,97873442.0,112532400.0,125998302.0,1964375.0,7581.84564147003,9823.16407600128,8894.89065003643,73.569,74.19,70.133,2.716,2.34,1.905
FSM,Micronesia,East Asia & Pacific,Lower middle income,111708.0,107587.0,112107.0,700.0,2088.20954444136,2760.0113395546,3639.41269869588,69.769,71.233,70.674,4.279,3.236,2.754
MDA,Moldova,Europe & Central Asia,Upper middle income,2924668.0,2862355.0,2635130.0,33850.0,440.538683980372,2436.79935102421,4376.24249318339,66.417,69.357,70.166,1.499,1.698,1.77
MCO,Monaco,Europe & Central Asia,High income,32465.0,33178.0,36922.0,74.92,81763.8276688413,161780.745361248,182537.387370109,,,,,,
MNG,Mongolia,East Asia & Pacific,Lower middle income,2450979.0,2702520.0,3294335.0,1564115.749,463.853881903101,2660.28817507398,4041.17414564367,62.882,67.182,72.141,2.255,2.513,2.9
MNE,Montenegro,Europe & Central Asia,Upper middle income,604951.0,619428.0,621305.0,13810.0,1627.06511911987,6688.40259641346,7677.37132106817,73.8184878048781,75.990243902439,75.9317073170732,2.065,1.7,1.75
MAR,Morocco,Middle East & North Africa,Lower middle income,28554416.0,32464865.0,36688772.0,446550.0,1492.37707519531,3067.85180664063,3258.26904296875,66.787,70.829,73.92,2.796,2.586,2.353
MOZ,Mozambique,Sub-Saharan Africa,Low income,17768505.0,23073723.0,31178239.0,799380.0,333.775138348215,494.584022000439,456.581928995106,49.491,54.198,61.172,5.812,5.63,4.713
MMR,Myanmar,East Asia & Pacific,Lower middle income,45538332.0,49390987.0,53423198.0,676590.0,195.550995666386,1003.03345506033,1479.61368925363,60.155,63.329,66.797,2.785,2.346,2.174
NAM,Namibia,Sub-Saharan Africa,Upper middle income,1819141.0,2099270.0,2489098.0,824290.0,2156.09024524858,5445.42006302741,4252.04172014353,51.99,56.015,62.829,3.975,3.63,3.349
NRU,Nauru,East Asia & Pacific,High income,10377.0,10241.0,12316.0,20.0,,4644.35549364565,10124.7006220945,58.732,59.64,63.437,3.642,3.907,3.571
NPL,Nepal,South Asia,Lower middle income,24559501.0,27161566.0,29348628.0,147180.0,223.711891850609,589.165434913038,1139.18989203941,62.614,66.814,69.246,3.944,2.512,2.055
NLD,Netherlands,Europe & Central Asia,High income,15925513.0,16615394.0,17441500.0,41540.0,26214.498549887,50999.7451168879,52162.5701150406,77.9878048780488,80.7024390243902,81.3585365853659,1.72,1.79,1.54
NCL,New Caledonia,East Asia & Pacific,High income,213230.0,249751.0,271079.0,18580.0,16039.169165098,37494.8952028518,34877.6356349199,75.1634146341463,77.2804878048781,80.8349512195122,2.59,2.2,2.04
NZL,New Zealand,East Asia & Pacific,High income,3857700.0,4350700.0,5090201.0,267710.0,13641.1027183822,33676.7741239925,41760.5947840005,78.6365853658537,80.9048780487805,82.2560975609756,1.98,2.17,1.61
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,5123223.0,5855734.0,6755895.0,130370.0,996.89785199474,1495.73375442812,1876.60737823677,67.234,72.009,71.795,3.111,2.601,2.349
